                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.4364,                0.67648,                 1.3113,                0.95699,                0.86691,                0.92312,                0.46426,                 1.8758,                0.92011,                 1.6563,              0.0009704,              0.0009704,              0.0009704
                     80,                 1.4647,                0.68927,                 1.3253,                0.94256,                 0.8961,                0.94329,                0.46825,                 1.9108,                0.76252,                 1.6764,              0.0009572,              0.0009572,              0.0009572
                     81,                 1.4512,                0.67506,                 1.3096,                0.92919,                0.88312,                0.92787,                0.48048,                 1.8576,                0.82531,                 1.6579,               0.000944,               0.000944,               0.000944
                     82,                 1.4075,                0.67345,                  1.282,                0.98584,                 0.9041,                0.95114,                0.49983,                 1.8018,                0.75022,                 1.5955,              0.0009308,              0.0009308,              0.0009308
                     83,                 1.3818,                0.63719,                 1.2541,                0.96424,                0.88312,                0.94046,                0.50292,                 1.8254,                0.77307,                 1.6028,              0.0009176,              0.0009176,              0.0009176
                     84,                 1.3977,                0.65059,                 1.2868,                0.93168,                 0.8961,                0.95439,                0.49385,                 1.9003,                0.72071,                 1.6661,              0.0009044,              0.0009044,              0.0009044
                     85,                  1.421,                0.65121,                 1.3006,                0.95263,                0.88312,                0.93743,                0.50475,                 1.8253,                0.74481,                 1.6329,              0.0008912,              0.0008912,              0.0008912
                     86,                 1.4048,                0.65284,                 1.2717,                0.98568,                 0.8938,                0.96509,                0.49253,                 1.8842,                0.70248,                 1.6189,               0.000878,               0.000878,               0.000878
                     87,                 1.3971,                0.62528,                 1.2753,                0.98605,                0.91799,                0.94855,                0.48228,                 1.8624,                0.78488,                 1.6235,              0.0008648,              0.0008648,              0.0008648
                     88,                 1.4064,                0.64885,                 1.2927,                0.95552,                0.92208,                0.96151,                0.47584,                 1.8154,                0.79447,                 1.5941,              0.0008516,              0.0008516,              0.0008516
                     89,                  1.367,                0.63917,                 1.2668,                0.97208,                0.90444,                0.95025,                0.52205,                 1.7548,                0.69818,                 1.5409,              0.0008384,              0.0008384,              0.0008384
                     90,                 1.3516,                0.63275,                 1.2689,                0.95179,                 0.8961,                0.93578,                0.49963,                 1.8321,                0.74088,                 1.6145,              0.0008252,              0.0008252,              0.0008252
                     91,                 1.3711,                0.63381,                 1.2623,                0.98458,                0.90909,                0.95637,                 0.5104,                 1.8387,                0.75652,                 1.6441,               0.000812,               0.000812,               0.000812
                     92,                 1.3525,                0.63435,                  1.258,                0.98539,                0.87605,                0.94852,                 0.5277,                  1.815,                0.81934,                 1.5829,              0.0007988,              0.0007988,              0.0007988
                     93,                 1.3364,                0.63963,                 1.2435,                0.95863,                0.90295,                0.95537,                0.51002,                 1.8776,                0.80481,                 1.6445,              0.0007856,              0.0007856,              0.0007856
                     94,                 1.3765,                0.64077,                 1.2796,                0.97281,                0.92945,                0.95551,                 0.4944,                 1.9362,                0.75958,                 1.6838,              0.0007724,              0.0007724,              0.0007724
                     95,                 1.3878,                 0.6343,                 1.2699,                0.96861,                0.88312,                0.94038,                0.49027,                 1.9301,                0.71459,                 1.6995,              0.0007592,              0.0007592,              0.0007592
                     96,                 1.3434,                0.61783,                 1.2413,                0.95618,                0.93506,                0.94735,                0.47697,                  2.044,                0.73931,                 1.7825,               0.000746,               0.000746,               0.000746
                     97,                  1.327,                0.60416,                 1.2553,                0.95382,                 0.8961,                0.92054,                0.44596,                 2.0698,                0.83829,                 1.8682,              0.0007328,              0.0007328,              0.0007328
                     98,                 1.3225,                 0.6131,                 1.2217,                0.95407,                0.87013,                0.92909,                0.45718,                 2.0254,                0.74992,                 1.7352,              0.0007196,              0.0007196,              0.0007196
                     99,                 1.3337,                0.62272,                 1.2523,                0.98603,                0.91658,                0.97505,                0.52537,                 1.7993,                0.70087,                 1.5742,              0.0007064,              0.0007064,              0.0007064
                    100,                 1.2947,                0.59503,                 1.2256,                0.98335,                0.92208,                0.97115,                0.50351,                 1.8905,                0.79879,                 1.6497,              0.0006932,              0.0006932,              0.0006932
                    101,                 1.3317,                0.61293,                 1.2483,                0.98353,                 0.8961,                0.96176,                0.50842,                 1.8821,                0.76405,                 1.6689,                0.00068,                0.00068,                0.00068
